#         Kn    delta_p2
2.154435e-04 4.03140e-01
3.162278e-04 3.43520e-01
4.641589e-04 3.45560e-01
6.812921e-04 3.64300e-01
1.000000e-03 3.74200e-01
1.467799e-03 3.61220e-01
2.154435e-03 3.76640e-01
3.162278e-03 3.84160e-01
4.641589e-03 3.84800e-01
6.812921e-03 3.85020e-01
1.000000e-02 3.86240e-01
1.467799e-02 3.87280e-01
2.154435e-02 3.88700e-01
3.162278e-02 3.95100e-01
4.641589e-02 3.94140e-01
6.812921e-02 3.96240e-01
1.000000e-01 4.06040e-01
1.467799e-01 3.98780e-01
2.154435e-01 4.01300e-01
3.162278e-01 4.05080e-01
4.641589e-01 4.11680e-01
