#         Kn    delta_p2          p0
2.154435e-04 4.65992e-01 1.72578e+00
3.162278e-04 4.66039e-01 1.72578e+00
4.641589e-04 4.65969e-01 1.72578e+00
6.812921e-04 4.66039e-01 1.72578e+00
1.000000e-03 4.66108e-01 1.72578e+00
1.467799e-03 4.66363e-01 1.72578e+00
2.154435e-03 4.66548e-01 1.72578e+00
3.162278e-03 4.66850e-01 1.72578e+00
4.641589e-03 4.67131e-01 1.72577e+00
6.812921e-03 4.67756e-01 1.72577e+00
1.000000e-02 4.68799e-01 1.72577e+00
1.467799e-02 4.69915e-01 1.72576e+00
2.154435e-02 4.70937e-01 1.72575e+00
3.162278e-02 4.73724e-01 1.72573e+00
4.641589e-02 4.76604e-01 1.72571e+00
6.812921e-02 4.76514e-01 1.72570e+00
1.000000e-01 4.76908e-01 1.72570e+00
1.467799e-01 4.76908e-01 1.72570e+00
2.154435e-01 4.76908e-01 1.72570e+00
3.162278e-01 4.76908e-01 1.72570e+00
4.641589e-01 4.76908e-01 1.72570e+00
