T(C)	Fe(fcc)	C(fcc)	Cr(fcc)	Mo(fcc)	Ni(fcc)
#1425	0.6867	0.0004	0.1568	0.0184	0.1377
1425.1	0.686667	0.0004216	0.156808	0.0184138	0.13769
1426	0.6870	0.0004	0.1565	0.0183	0.1378
1427	0.6874	0.0004	0.1561	0.0181	0.1380
1428	0.6878	0.0004	0.1558	0.0180	0.1381
1429	0.6883	0.0003	0.1554	0.0178	0.1382
#1430	0.6888	0.0003	0.1550	0.0177	0.1382
1430	0.688775	0.0003128	0.155007	0.0176737	0.138232
1431	0.6893	0.0003	0.1546	0.0175	0.1383
1432	0.6900	0.0003	0.1542	0.0173	0.1383
1433	0.6907	0.0003	0.1537	0.0172	0.1382
1434	0.6915	0.0002	0.1532	0.0170	0.1381
1435	0.6924	0.0002	0.1527	0.0168	0.1379
1436	0.6934	0.0002	0.1521	0.0166	0.1377
1437	0.6946	0.0002	0.1515	0.0164	0.1374
1438	0.6959	0.0002	0.1508	0.0162	0.1370
1439	0.6973	0.0001	0.1501	0.0159	0.1365
#1440	0.6990	0.0001	0.1493	0.0157	0.1359
1440	0.698954	0.000133	0.149299	0.0157062	0.135908
1441	0.7008	0.0001	0.1484	0.0155	0.1352
1441.08	0.700901	0.0001198	0.14838	0.0154358	0.135163
1442	0.0000	0.0000	0.0000	0.0000	0.0000
1443	0.0000	0.0000	0.0000	0.0000	0.0000
1444	0.0000	0.0000	0.0000	0.0000	0.0000
1445	0.0000	0.0000	0.0000	0.0000	0.0000
1446	0.0000	0.0000	0.0000	0.0000	0.0000
1447	0.0000	0.0000	0.0000	0.0000	0.0000
1448	0.0000	0.0000	0.0000	0.0000	0.0000
1449	0.0000	0.0000	0.0000	0.0000	0.0000
#1450   0   0   0   0   0
1450	0.0000	0.0000	0.0000	0.0000	0.0000
1451	0.0000	0.0000	0.0000	0.0000	0.0000
1452	0.0000	0.0000	0.0000	0.0000	0.0000
1453	0.0000	0.0000	0.0000	0.0000	0.0000
1453.63	0	0	0	0	0
