T(C)	Fe(bcc)	C(bcc)	Cr(bcc)	Mo(bcc)	Ni(bcc)
#1425	0.6827	0.0002	0.1834	0.0317	0.1021
1425.1	0.682711	0.000177	0.18334	0.0316601	0.102112
1426	0.6831	0.0002	0.1829	0.0315	0.1023
1427	0.6837	0.0002	0.1825	0.0313	0.1024
1428	0.6842	0.0002	0.1820	0.0310	0.1026
1429	0.6848	0.0001	0.1815	0.0308	0.1027
#1430	0.6854	0.0001	0.1810	0.0306	0.1028
1430	0.685435	0.0001322	0.181022	0.0305902	0.10282
1431	0.6861	0.0001	0.1805	0.0303	0.1029
1432	0.6869	0.0001	0.1799	0.0301	0.1030
1433	0.6877	0.0001	0.1793	0.0298	0.1030
1434	0.6886	0.0001	0.1787	0.0296	0.1030
1435	0.6896	0.0001	0.1780	0.0293	0.1030
1436	0.6908	0.0001	0.1773	0.0289	0.1029
1437	0.6920	0.0001	0.1765	0.0286	0.1028
1438	0.6935	0.0001	0.1756	0.0283	0.1026
1439	0.6950	0.0001	0.1747	0.0279	0.1023
#1440	0.6968	0.0001	0.1737	0.0275	0.1020
1440	0.696757	5.69e-05	0.173705	0.0274714	0.10201
1441	0.6987	0.0001	0.1726	0.0270	0.1016
1441.08	0.698812	5.13e-05	0.17253	0.0270147	0.101593
1442	0.6993	0.0000	0.1727	0.0271	0.1009
1443	0.6998	0.0000	0.1728	0.0272	0.1001
1444	0.7003	0.0000	0.1730	0.0274	0.0994
1445	0.7008	0.0000	0.1731	0.0275	0.0986
1446	0.7013	0.0000	0.1733	0.0276	0.0978
1447	0.7018	0.0000	0.1734	0.0277	0.0970
1448	0.7023	0.0000	0.1736	0.0279	0.0962
1449	0.7028	0.0000	0.1738	0.0280	0.0953
#1450	0.7033	0.0000	0.1740	0.0282	0.0945
1450	0.703292	3.72e-05	0.17398	0.0281946	0.0944962
1451	0.7038	0.0000	0.1742	0.0284	0.0936
1452	0.7043	0.0000	0.1744	0.0285	0.0928
1453	0.7048	0.0000	0.1746	0.0287	0.0919
1453.63	0.705095	3.27e-05	0.174707	0.02881	0.0913553
