# T(C)	Fe(liq)	C(liq)	Cr(liq)	Mo(liq)	Ni(liq)
1425.1	0.654229	0.0018166	0.180493	0.0286168	0.134845
1426	0.6549	0.0017	0.1799	0.0284	0.1351
1427	0.6556	0.0016	0.1793	0.0281	0.1354
1428	0.6564	0.0015	0.1786	0.0278	0.1356
1429	0.6573	0.0014	0.1779	0.0275	0.1359
#1430	0.6581	0.0013	0.1773	0.0272	0.1361
1430	0.65812	0.0013387	0.177255	0.0271982	0.136088
1431	0.6590	0.0012	0.1766	0.0269	0.1363
1432	0.6600	0.0012	0.1759	0.0266	0.1364
1433	0.6610	0.0011	0.1751	0.0263	0.1365
1434	0.6622	0.0010	0.1744	0.0260	0.1365
1435	0.6634	0.0009	0.1736	0.0256	0.1365
1436	0.6647	0.0008	0.1728	0.0253	0.1364
1437	0.6662	0.0007	0.1719	0.0249	0.1362
1438	0.6677	0.0007	0.1710	0.0246	0.1360
1439	0.6695	0.0006	0.1701	0.0242	0.1356
#1440	0.6713	0.0006	0.1691	0.0238	0.1352
1440	0.671337	0.000554	0.169121	0.0238324	0.135156
1441	0.6734	0.0005	0.1681	0.0234	0.1346
1441.08	0.673541	0.0004967	0.167999	0.0234068	0.134556
1442	0.6743	0.0005	0.1681	0.0235	0.1336
1443	0.6752	0.0005	0.1682	0.0236	0.1325
1444	0.6761	0.0004	0.1684	0.0237	0.1314
1445	0.6770	0.0004	0.1685	0.0238	0.1303
1446	0.6779	0.0004	0.1686	0.0239	0.1292
1447	0.6788	0.0004	0.1688	0.0240	0.1280
1448	0.6797	0.0004	0.1690	0.0242	0.1268
1449	0.6805	0.0004	0.1691	0.0243	0.1257
1450	0.6814	0.0003	0.1693	0.0244	0.1245
1451	0.6823	0.0003	0.1695	0.0246	0.1233
1452	0.6832	0.0003	0.1697	0.0247	0.1220
1453	0.6841	0.0003	0.1699	0.0249	0.1208
1453.63	0.6847	0.0003	0.17	0.025	0.12
