T(C)	liq	bcc	fcc
1400	0.0000	0.3924	0.6076
1401	0.0000	0.3963	0.6037
1402	0.0000	0.4003	0.5997
1403	0.0000	0.4043	0.5957
1404	0.0000	0.4083	0.5917
1405	0.0000	0.4123	0.5877
1406	0.0000	0.4163	0.5837
1407	0.0000	0.4204	0.5796
1408	0.0000	0.4244	0.5756
1409	0.0000	0.4285	0.5715
1410	0.0000	0.4326	0.5674
1411	0.0000	0.4367	0.5633
1412	0.0000	0.4409	0.5591
1413	0.0000	0.4450	0.5550
1414	0.0000	0.4492	0.5508
1415	0.0000	0.4533	0.5467
1416	0.0000	0.4575	0.5425
1417	0.0000	0.4618	0.5382
1418	0.0000	0.4660	0.5340
1419	0.0000	0.4702	0.5298
1420	0.0000	0.4745	0.5255
1421	0.0000	0.4788	0.5212
1422	0.0000	0.4831	0.5169
1423	0.0000	0.4874	0.5126
1424	0.0000	0.4917	0.5083
#1425	0.0000	0.4961	0.5039
1425.1	0.00000	0.49653	0.50347
1426	0.0115	0.4997	0.4888
1427	0.0255	0.5029	0.4715
1428	0.0410	0.5057	0.4533
1429	0.0583	0.5079	0.4338
#1430	0.0776	0.5095	0.4129
1430	0.07755	0.50950	0.41295
1431	0.0992	0.5104	0.3905
1432	0.1235	0.5104	0.3661
1433	0.1510	0.5094	0.3396
1434	0.1823	0.5072	0.3106
1435	0.2177	0.5036	0.2787
1436	0.2581	0.4985	0.2435
1437	0.3039	0.4916	0.2045
1438	0.3558	0.4827	0.1615
1439	0.4144	0.4716	0.1140
#1440	0.4800	0.4583	0.0618
1440	0.47995	0.45829	0.06176
1441	0.5528	0.4426	0.0046
1441.08	0.55872	0.44128	0
1442	0.5847	0.4153	0.0000
1443	0.6139	0.3861	0.0000
1444	0.6442	0.3558	0.0000
1445	0.6756	0.3244	0.0000
1446	0.7082	0.2918	0.0000
1447	0.7420	0.2580	0.0000
1448	0.7771	0.2229	0.0000
1449	0.8135	0.1865	0.0000
#1450	0.8512	0.1488	0.0000
1450	0.85117	0.14883	0
1451	0.8903	0.1097	0.0000
1452	0.9308	0.0692	0.0000
1453	0.9728	0.0272	0.0000
1453.6	1	0	0
