#         Kn        topT         topU     bottomT     bottomU
2.511900e-03 5.22344e-01 -1.17243e-01 4.99289e-01 1.82995e-01
2.818400e-03 5.22053e-01 -1.16739e-01 4.99203e-01 1.81680e-01
3.162300e-03 5.21728e-01 -1.16178e-01 4.99107e-01 1.80225e-01
3.548100e-03 5.21368e-01 -1.15557e-01 4.99000e-01 1.78619e-01
3.981100e-03 5.20969e-01 -1.14869e-01 4.98881e-01 1.76849e-01
4.466800e-03 5.20526e-01 -1.14107e-01 4.98747e-01 1.74902e-01
5.011900e-03 5.20037e-01 -1.13267e-01 4.98599e-01 1.72766e-01
5.623400e-03 5.19496e-01 -1.12340e-01 4.98434e-01 1.70429e-01
6.309600e-03 5.18900e-01 -1.11320e-01 4.98250e-01 1.67878e-01
7.079500e-03 5.18245e-01 -1.10201e-01 4.98045e-01 1.65105e-01
7.943300e-03 5.17526e-01 -1.08974e-01 4.97819e-01 1.62099e-01
8.912500e-03 5.16739e-01 -1.07634e-01 4.97569e-01 1.58856e-01
1.000000e-02 5.15880e-01 -1.06174e-01 4.97293e-01 1.55371e-01
1.122020e-02 5.14945e-01 -1.04586e-01 4.96988e-01 1.51646e-01
1.258930e-02 5.13931e-01 -1.02867e-01 4.96655e-01 1.47688e-01
1.412540e-02 5.12837e-01 -1.01010e-01 4.96290e-01 1.43508e-01
1.584890e-02 5.11660e-01 -9.90127e-02 4.95893e-01 1.39126e-01
1.778280e-02 5.10401e-01 -9.68722e-02 4.95463e-01 1.34572e-01
1.995260e-02 5.09061e-01 -9.45865e-02 4.95000e-01 1.29884e-01
2.238720e-02 5.07644e-01 -9.21587e-02 4.94505e-01 1.25112e-01
2.511890e-02 5.06157e-01 -8.95920e-02 4.93981e-01 1.20320e-01
2.818380e-02 5.04608e-01 -8.68953e-02 4.93431e-01 1.15587e-01
3.162280e-02 5.03011e-01 -8.40753e-02 4.92861e-01 1.11006e-01
3.548130e-02 5.01384e-01 -8.11503e-02 4.92279e-01 1.06687e-01
3.981070e-02 4.99747e-01 -7.81433e-02 4.91697e-01 1.02760e-01
4.466840e-02 4.98131e-01 -7.50848e-02 4.91131e-01 9.93724e-02
5.011870e-02 4.96569e-01 -7.20123e-02 4.90599e-01 9.66918e-02
5.623410e-02 4.95104e-01 -6.89664e-02 4.90126e-01 9.49062e-02
6.309570e-02 4.93786e-01 -6.59897e-02 4.89744e-01 9.42244e-02
7.079460e-02 4.92674e-01 -6.31143e-02 4.89490e-01 9.48763e-02
7.943280e-02 4.91839e-01 -6.03567e-02 4.89412e-01 9.71136e-02
8.912510e-02 4.91362e-01 -5.77039e-02 4.89566e-01 1.01210e-01
1.000000e-01 4.91337e-01 -5.51015e-02 4.90024e-01 1.07463e-01
