#         Kn        topT         topU     bottomT     bottomU
2.511900e-03 5.22325e-01 -1.17155e-01 4.99280e-01 1.78374e-01
2.818400e-03 5.22029e-01 -1.16640e-01 4.99191e-01 1.76496e-01
3.162300e-03 5.21700e-01 -1.16068e-01 4.99093e-01 1.74411e-01
3.548100e-03 5.21333e-01 -1.15434e-01 4.98982e-01 1.72098e-01
3.981100e-03 5.20926e-01 -1.14732e-01 4.98857e-01 1.69535e-01
4.466800e-03 5.20474e-01 -1.13955e-01 4.98718e-01 1.66700e-01
5.011900e-03 5.19972e-01 -1.13097e-01 4.98562e-01 1.63568e-01
5.623400e-03 5.19417e-01 -1.12151e-01 4.98387e-01 1.60115e-01
6.309600e-03 5.18804e-01 -1.11111e-01 4.98191e-01 1.56314e-01
7.079500e-03 5.18126e-01 -1.09968e-01 4.97972e-01 1.52139e-01
7.943300e-03 5.17379e-01 -1.08717e-01 4.97727e-01 1.47563e-01
8.912500e-03 5.16558e-01 -1.07349e-01 4.97452e-01 1.42561e-01
1.000000e-02 5.15657e-01 -1.05859e-01 4.97146e-01 1.37105e-01
1.122020e-02 5.14670e-01 -1.04239e-01 4.96805e-01 1.31173e-01
1.258930e-02 5.13593e-01 -1.02484e-01 4.96424e-01 1.24742e-01
1.412540e-02 5.12419e-01 -1.00590e-01 4.96000e-01 1.17794e-01
1.584890e-02 5.11144e-01 -9.85522e-02 4.95529e-01 1.10314e-01
1.778280e-02 5.09764e-01 -9.63683e-02 4.95007e-01 1.02289e-01
1.995260e-02 5.08275e-01 -9.40364e-02 4.94428e-01 9.37173e-02
2.238720e-02 5.06674e-01 -9.15600e-02 4.93789e-01 8.45984e-02
2.511890e-02 5.04961e-01 -8.89423e-02 4.93085e-01 7.49414e-02
2.818380e-02 5.03135e-01 -8.61934e-02 4.92309e-01 6.47632e-02
3.162280e-02 5.01198e-01 -8.33209e-02 4.91458e-01 5.40883e-02
3.548130e-02 4.99154e-01 -8.03461e-02 4.90527e-01 4.29509e-02
3.981070e-02 4.97008e-01 -7.72982e-02 4.89512e-01 3.13929e-02
4.466840e-02 4.94770e-01 -7.42185e-02 4.88406e-01 1.94652e-02
5.011870e-02 4.92449e-01 -7.11630e-02 4.87205e-01 7.22686e-03
5.623410e-02 4.90058e-01 -6.82023e-02 4.85903e-01 -5.25620e-03
6.309570e-02 4.87613e-01 -6.54254e-02 4.84495e-01 -1.79128e-02
7.079460e-02 4.85129e-01 -6.29320e-02 4.82971e-01 -3.06669e-02
7.943280e-02 4.82624e-01 -6.08335e-02 4.81325e-01 -4.34398e-02
8.912510e-02 4.80111e-01 -5.92452e-02 4.79541e-01 -5.61520e-02
1.000000e-01 4.77606e-01 -5.82799e-02 4.77605e-01 -6.87251e-02
